start station name,Average trip duration,station latitude,station longitude,bikes leaving
Sydney St at Carson St,24754.978260869564,42.32039374,-71.05355408,92
Talbot Ave At Blue Hill Ave,1557.0625,42.2945833,-71.087111,16
Tappan St at Brookline Hills MBTA,1066.0879120879122,42.33137017,-71.12688361,91
Teele Square,1916.7281553398059,42.4008795,-71.12590793,206
The Dimock Center,1128.344827586207,42.31930943,-71.09639924,29
The Eddy - New St at Sumner St,298.1621621621622,42.370744,-71.044201,37
The Lawn on D,822.9308755760369,42.344792,-71.044024,217
The Overlook at St. Gabriel's,1107.970802919708,42.34679008,-71.14549814,137
Third at Binney,809.7661431064572,42.36544486,-71.08277142,573
Thorndike Field at Minuteman Bikeway,1110.1592920353983,42.40016805,-71.14456963,113
Tremont St at E Berkeley St,840.2378048780488,42.345392,-71.069616,656
Tremont St at Hamilton Pl,970.9833531510106,42.35668335,-71.06166646,841
Tremont St at Northampton St,894.2930327868852,42.3384318,-71.08169050000001,488
Tremont St at W. Dedham St,692.2831858407079,42.34254914,-71.07421449,452
Tremont St at West St,1330.6546391752577,42.354979,-71.063348,582
Troy Boston,522.8979591836735,42.343749,-71.062256,294
Trum Field @ Cedar St (Temp Winter Station),791.6447368421053,42.398444,-71.107833,76
Tufts Sq - Main St at Medford St,1341.7093023255813,42.401697,-71.106128,86
Union Square - Brighton Ave at Cambridge St,3814.859574468085,42.353334,-71.137313,470
Union Square - Somerville,1380.2970639032815,42.3796479,-71.09540476,579
Union Square East,869.3107569721116,42.380078,-71.090098,251
University Park,714.0755124056095,42.36264779,-71.10006094,927
University of Massachusetts Boston - Campus Center,1453.96875,42.31218918,-71.03648586,32
Valenti Way at Haverhill St,2541.0808950086057,42.36473899,-71.05934903,1162
Vassal Lane at Tobin/VLUS,1152.2692307692307,42.38536765,-71.13775671,52
Verizon Innovation Hub 10 Ware Street,723.5137362637363,42.37250865,-71.11305356,364
W Broadway at D St,787.3115671641791,42.3391085,-71.0514432,536
W Broadway at Dorchester St,1389.4870466321242,42.33595898,-71.046229,386
Walnut Ave at School St,1446.0363636363636,42.31242399,-71.09616905,55
Warren St at Chelsea St,912.6653005464481,42.371848,-71.060292,732
Wasgott Playground,1251.4444444444443,42.40933007,-71.06381878,18
Washington Sq,1017.6761904761905,42.33985827,-71.13421171,210
Washington St @ New Washington St (Temp Winter Station),1057.688796680498,42.38103731999999,-71.08709779,241
Washington St at Brock St,1509.1549295774648,42.34895285,-71.16031677,71
Washington St at Lenox St,797.4942528735633,42.33509899,-71.07903779,261
Washington St at Melnea Cass Blvd,674.355871886121,42.332817,-71.081198,281
Washington St at Rutland St,734.8706896551724,42.3385146,-71.07404083,1276
Washington St at Talbot Ave,23374.333333333332,42.290333,-71.071806,24
Washington St at Walnut St,2264.0,42.35145812,-71.20764971,3
Washington St at Waltham St,617.0191938579654,42.34157472,-71.0689044,521
Watermark Seaport - Boston Wharf Rd at Seaport Blvd,1406.8473684210526,42.351586,-71.04569256,570
Watertown Sq,2189.5104166666665,42.36526032,-71.18573324,96
