end station name,Average trip duration,station latitude,station longitude,bikes entering
Savin Hill T Stop - S Sydney St at Bay St,14782.03125,42.3106,-71.0539,64
Seaport Blvd at Sleeper St,1041.502257336343,42.35317809,-71.04817357,886
Seaport Hotel - Congress St at Seaport Ln,973.1918819188191,42.34881026,-71.04167744,271
Seaport Square - Seaport Blvd at Northern Ave,1264.6299559471365,42.35148193,-71.04436085,454
Sennott Park Broadway at Norfolk Street,690.1007299270073,42.36860524,-71.09930186,685
Shawmut Ave at Lenox St,895.5934065934066,42.33584613,-71.08038157,91
Shawmut Ave at Oak St W,699.6657534246575,42.34854543,-71.06559185,365
Shawmut T Stop,36310.439024390245,42.292917,-71.06575,41
Shetland Park - Congress at Peabody St,12677.90909090909,42.51836788,-70.88952363,22
Sidney Research Campus/Erie Street at Waverly,687.5519230769231,42.35775309,-71.10393405,520
Silber Way,890.840395480226,42.349496,-71.10057592,708
Smith Pl at Wilson Rd,5577.768292682927,42.39239749,-71.15058332,82
Soldiers Field Park - 111 Western Ave,866.9430051813472,42.36426344,-71.1182757,386
Somerville City Hall,1105.8307692307692,42.386844,-71.09812,130
Somerville High School & Central Library,990.5957446808511,42.3864,-71.09601,94
South Boston Library - 646 E Broadway,1054.2356321839081,42.335741,-71.03877,348
South End Library - Tremont St at W Newton St,744.6891304347826,42.341331999999994,-71.076847,460
South Station - 700 Atlantic Ave,799.9185022026431,42.352175,-71.055547,1362
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,998.7319347319348,42.37833800000001,-71.048927,429
Spring St at Powell St,2042.25,42.27748444,-71.16341468,20
St Mary's,855.4179104477612,42.34619708,-71.10728681,402
St. Alphonsus St at Tremont St,1943.7904191616767,42.33329255,-71.10124648,334
State Street at Channel Center,824.0441640378549,42.344137,-71.052608,317
Stony Brook T Stop,1247.276,42.316966,-71.104374,250
Stuart St at Berkeley St,1018.5405872193437,42.34954403,-71.07242074,579
Stuart St at Charles St,939.6595174262735,42.351146,-71.066289,373
